"Title","Progress","Type","MAL_Score","AniList_Score","Genres","Notes","MAL_URL","AniList_URL","Current_MAL_Score","Current_AniList_Score","Average_Score"
"My Teen Romantic Comedy SNAFU","0/13","TV","8.12","7.9","Comedy, Romance, School, Slice of Life","","https://myanimelist.net/anime/14813/Yahari_Ore_no_Seishun_Love_Comedy_wa_Machigatteiru","FAILED_LOOKUP","8.0","","7.95"
"Spice and Wolf: MERCHANT MEETS THE WISE WOLF","0/25","TV","8.11","TBD","Adventure, Fantasy, Romance","[2024+] Aired 2024","https://myanimelist.net/anime/51122/Ookami_to_Koushinryou__Merchant_Meets_the_Wise_Wolf","FAILED_LOOKUP","8.12","","8.12"
"Sankarea: Undying Love","0/12","TV","8.11","7.4","Comedy, Ecchi, Horror, Romance, Shounen, Supernatural","","https://myanimelist.net/anime/11499/Sankarea","FAILED_LOOKUP","7.26","","7.33"
"Platinum End","0/24","TV","8.11","6.1","Drama, Supernatural, Suspense, Shounen","","https://myanimelist.net/anime/44961/Platinum_End","FAILED_LOOKUP","6.02","","6.06"
"I Got a Cheat Skill in Another World and Became Unrivaled in The Real World, Too","0/13","TV","8.11","6.3","Action, Adventure, Fantasy, Harem, Isekai","","https://myanimelist.net/anime/52830/Isekai_de_Cheat_Skill_wo_Te_ni_Shita_Ore_wa_Genjitsu_Sekai_wo_mo_Musou_Suru__Level_Up_wa_Jinsei_wo_Kaeta","FAILED_LOOKUP","6.33","","6.31"
"Tamako Market","0/12","TV","8.1","7.5","Slice of Life, Comedy","","https://myanimelist.net/anime/16417/Tamako_Market","FAILED_LOOKUP","7.41","","7.46"
"Yona of the Dawn","0/24","TV","8.08","8","Action, Adventure, Comedy, Fantasy, Romance, Shoujo","","https://myanimelist.net/anime/25013/Akatsuki_no_Yona","FAILED_LOOKUP","8.04","","8.02"
"Sonny Boy","0/12","TV","8.08","8","Mystery, Sci-Fi, Supernatural, Thriller","","https://myanimelist.net/anime/48849/Sonny_Boy","FAILED_LOOKUP","7.84","","7.92"
"Seirei Gensouki: Spirit Chronicles","0/12","TV","8.08","7.1","Action, Adventure, Fantasy, Harem, Isekai, Romance","","https://myanimelist.net/anime/44203/Seirei_Gensouki","https://anilist.co/anime/126546/Seirei-Gensouki","7.06","6.9","6.98"
"Dr. STONE","0/24","TV","8.08","8.1","Action, Adventure, Comedy, Sci-Fi","","https://myanimelist.net/anime/38691/Dr_Stone","https://anilist.co/anime/105333/Dr-STONE","8.26","8.1","8.18"
"Girlfriend, Girlfriend","0/12","TV","8.07","6.49","6.5, Comedy, Harem, Romance, School, Shounen","","https://myanimelist.net/anime/43969/Kanojo_mo_Kanojo","https://anilist.co/anime/126192/Kanojo-mo-Kanojo","6.51","6.3","6.4"
"AHO-GIRL","0/12","TV","8.07","7","Comedy, Romance, School, Slice of Life","","https://myanimelist.net/anime/34881/Aho_Girl","https://anilist.co/anime/98251/AhoGirl","6.71","6.4","6.55"
"Uncle from Another World","0/13","TV","8.06","8","Comedy, Fantasy, Isekai, Parody","","https://myanimelist.net/anime/49220/Isekai_Ojisan","https://anilist.co/anime/135806/Isekai-Ojisan","7.75","7.6","7.67"
"Toradora!","0/25","TV","8.06","8","Comedy, Drama, Romance, School, Slice of Life","","https://myanimelist.net/anime/4224/Toradora","https://anilist.co/anime/4224/Toradora","8.04","7.7","7.87"
"SCHOOL-LIVE!","0/12","TV","8.06","7.7","Horror, Mystery, Psychological, School, Slice of Life, Supernatural","","https://myanimelist.net/anime/24765/Gakkougurashi","https://anilist.co/anime/20754/Gakkou-Gurashi","7.61","7.4","7.51"
"ID: INVADED","0/13","TV","8.06","8","Mystery, Police, Psychological, Sci-Fi","","https://myanimelist.net/anime/40046/Id_Invaded","https://anilist.co/anime/110350/ID-INVADED","7.81","7.7","7.75"
"The Detective Is Already Dead","0/12","TV","8.05","6.5","Comedy, Drama, Mystery, Romance, Supernatural","","https://myanimelist.net/anime/46471/Tantei_wa_Mou_Shindeiru","https://anilist.co/anime/128712/Tantei-wa-mou-Shindeiru","6.43","6.0","6.21"
"A Sign of Affection","0/12","TV","8.05","7.8","Romance, Slice of Life, Drama, Girls Love","[Matched: A Sign of Affection]","https://myanimelist.net/anime/55866","https://anilist.co/anime/166794","","",""
"Twin Star Exorcists","0/50","TV","8.04","7.8","Action, Fantasy, Shounen, Supernatural","[Matched: Twin Star Exorcists]","https://myanimelist.net/anime/32105","https://anilist.co/anime/21499","","",""
"The Hidden Dungeon Only I Can Enter","0/12","TV","8.04","6.3","Action, Adventure, Ecchi, Fantasy, Harem","[Enriched via search]","https://myanimelist.net/anime/41899","https://anilist.co/anime/118375","6.27","6.0","6.14"
"Talentless Nana","0/13","TV","8.03","7.4","Psychological, Supernatural, Suspense, Thriller","[Enriched via search - AniList score needed]","https://myanimelist.net/anime/41619","https://anilist.co/anime/117343","7.16","",""
"Buddy Daddies","0/12","TV","8.03","8","Action, Comedy, Childcare","[Matched: Buddy Daddies]","https://myanimelist.net/anime/53411","https://anilist.co/anime/155907","","",""
"Science Fell in Love, So I Tried to Prove It","0/12","TV","8.01","7.36","7.4, Comedy, Romance, Seinen","[VERIFY_MANUALLY]","FAILED_LOOKUP","FAILED_LOOKUP","","",""
"Wotakoi: Love is Hard for Otaku","0/11","TV","8.00","7.9","Comedy, Romance, Slice of Life","[Enriched via search v2]","https://myanimelist.net/anime/35968","https://anilist.co/anime/99578","7.92","7.8","7.86"
"WorldEnd: What are you doing at the end of the world? Are you busy? Will you save us?""""","0/12","TV","8","7.9","Drama, Fantasy, Romance, Sci-Fi","[VERIFY_MANUALLY]","FAILED_LOOKUP","FAILED_LOOKUP","","",""
"World Trigger","0/73","TV","8","7.7","Action, School, Sci-Fi, Shounen, Supernatural","","https://myanimelist.net/anime/24405/World_Trigger","https://anilist.co/anime/20729/World-Trigger","7.58","7.3","7.44"
"Tamako -love story-","0/1","Movie","8","8","Comedy, Romance, Slice of Life","[Matched: Tamako -love story-]","https://myanimelist.net/anime/21647","https://anilist.co/anime/20519","","",""
"Blast of Tempest","0/24","TV","8","7.9","Action, Drama, Fantasy, Mystery, Psychological, Shounen","[Matched: Blast of Tempest]","https://myanimelist.net/anime/14075","https://anilist.co/anime/14075","","",""
"Ranma1/2 (2024)","0/12","TV","7.99","8.2","Comedy, Romance, Martial Arts, Slice of Life","[2024-2025] Remake airing 2024 [VERIFY_MANUALLY]","FAILED_LOOKUP","FAILED_LOOKUP","","",""
"Boarding School Juliet","0/12","TV","7.99","7.6","Action, Comedy, Romance, School, Shounen","[Matched: Boarding School Juliet]","https://myanimelist.net/anime/37475","https://anilist.co/anime/101310","","",""
"Noragami","0/12","TV","7.98","7.9","Action, Adventure, Supernatural, Shounen","[Matched: Noragami]","https://myanimelist.net/anime/20507","https://anilist.co/anime/20447","","",""
"TONIKAWA: Over The Moon For You","0/12","TV","7.96","7.9","Comedy, Romance, Shounen","[Matched: TONIKAWA: Over The Moon For You]","https://myanimelist.net/anime/51533","https://anilist.co/anime/141212","","",""
"Seitokai Yakuindomo","0/13","TV","7.96","7.7","Comedy, School, Shounen, Slice of Life","[Matched: Seitokai Yakuindomo]","https://myanimelist.net/anime/8675","https://anilist.co/anime/8675","","",""
"My Senpai is Annoying","0/12","TV","7.96","7.7","Comedy, Romance, Slice of Life","[Matched: My Senpai Is Annoying]","https://myanimelist.net/anime/42351","https://anilist.co/anime/120646","","",""
"Date A Live III","0/12","TV","7.95","7.2","Comedy, Harem, Mecha, Romance, School, Sci-Fi","[Matched: Date A Live III]","https://myanimelist.net/anime/36633","https://anilist.co/anime/100722","","",""
"Blood Blockade Battlefront & Beyond","0/12","TV","7.95","7.9","Action, Comedy, Fantasy, Supernatural, Vampire","[Matched: Blood Blockade Battlefront & BEYOND]","https://myanimelist.net/anime/34451","https://anilist.co/anime/97886","","",""
"Maoyu: Archenemy & Hero","0/12","TV","7.94","7.4","Adventure, Demons, Fantasy, Historical, Romance","[Matched: Maoyu: There's More to this Story than Useless Flesh!]","https://myanimelist.net/anime/17743","NEEDS_LOOKUP","","",""
"When Supernatural Battles Became Commonplace","0/12","TV","7.92","7.3","Comedy, Fantasy, School, Slice of Life, Supernatural, Super Power","[VERIFY_MANUALLY]","FAILED_LOOKUP","FAILED_LOOKUP","","",""
"Terror in Resonance","0/11","TV","7.92","8.1","Mystery, Psychological, Thriller","","https://myanimelist.net/anime/23283/Zankyou_no_Terror","https://anilist.co/anime/20661/Zankyou-no-Terror","8.08","7.8","7.94"
"Plastic Memories","0/13","TV","7.92","7.9","Drama, Romance, Sci-Fi, Slice of Life","","https://myanimelist.net/anime/27775/Plastic_Memories","https://anilist.co/anime/20872/Plastic-Memories","7.91","7.7","7.81"
"Angel Beats!","0/13","TV","7.90","7.7","Action, Comedy, Drama, Supernatural","[Matched: Angel Beats!]","https://myanimelist.net/anime/6547","https://anilist.co/anime/6547","","",""
"SSSS.GRIDMAN","0/12","TV","7.89","7.9","Action, Mecha, Sci-Fi","[Matched: SSSS.Gridman]","https://myanimelist.net/anime/35847","https://anilist.co/anime/99424","","",""
"Campfire Cooking in Another World with my Absurd Skill","0/12","TV","7.89","7.7","Adventure, Fantasy, Gourmet, Isekai, Slice of Life","[Matched: Campfire Cooking in Another World with My Absurd Skill]","NEEDS_LOOKUP","NEEDS_LOOKUP","","",""
"The Future Diary","0/26","TV","7.88","7.5","Action, Psychological, Supernatural, Thriller","[Matched: Future Diary]","https://myanimelist.net/anime/8460","https://anilist.co/anime/8460","","",""
"The Asterisk War 2","0/12","TV","7.88","7","Action, Comedy, Ecchi, Fantasy, Harem, Romance, School, Sci-Fi","[Matched: Asterisk Savaşı]","https://myanimelist.net/anime/30544","https://anilist.co/anime/21131","","",""
"Skeleton Knight in Another World","0/12","TV","7.88","7","Action, Adventure, Fantasy, Isekai","[Matched: Skeleton Knight in Another World]","NEEDS_LOOKUP","NEEDS_LOOKUP","","",""
"Reincarnated as a Sword","0/12","ONA","7.88","7.5","Action, Adventure, Fantasy, Isekai","[Matched: Reincarnated as a Sword]","NEEDS_LOOKUP","NEEDS_LOOKUP","","",""
"B: The Beginning","0/12","ONA","7.88","7.2","Action, Mystery, Police, Psychological, Supernatural, Thriller","[Matched: B: The Beginning]","https://myanimelist.net/anime/32827","https://anilist.co/anime/21665","","",""
